left,right,cosine_similarity
data__mask__24,data__mask__39,0.03051083
data__mask__24,data__mask__4,-0.00160181
data__mask__24,data__mask__40,-0.01638969
data__mask__24,data__mask__41,0.16466075
data__mask__24,data__mask__5,0.00036856
data__mask__24,data__mask__6,0.07625446
data__mask__24,data__mask__7,0.15403423
data__mask__24,data__mask__8,0.04055590
data__mask__24,data__mask__9,0.02174900
data__mask__25,data__mask__26,0.43661556
data__mask__25,data__mask__27,0.10935029
data__mask__25,data__mask__28,0.31883124
data__mask__25,data__mask__29,0.23021512
data__mask__25,data__mask__3,0.03828822
data__mask__25,data__mask__30,0.35230598
data__mask__25,data__mask__31,0.23997639
data__mask__25,data__mask__32,0.23767874
data__mask__25,data__mask__33,0.19064841
data__mask__25,data__mask__34,0.18156563
data__mask__25,data__mask__35,0.07651421
data__mask__25,data__mask__36,0.11478882
data__mask__25,data__mask__37,0.11823301
data__mask__25,data__mask__38,0.10732938
data__mask__25,data__mask__39,0.08579991
data__mask__25,data__mask__4,0.02873276
data__mask__25,data__mask__40,-0.00615250
data__mask__25,data__mask__41,0.16096465
data__mask__25,data__mask__5,0.01067030
data__mask__25,data__mask__6,0.05512488
data__mask__25,data__mask__7,0.08545934
data__mask__25,data__mask__8,0.05720776
data__mask__25,data__mask__9,0.09733383
data__mask__26,data__mask__27,0.27429414
data__mask__26,data__mask__28,0.19100457
data__mask__26,data__mask__29,0.22268328
data__mask__26,data__mask__3,0.09760705
data__mask__26,data__mask__30,0.79804814
data__mask__26,data__mask__31,0.45182735
data__mask__26,data__mask__32,0.48168004
data__mask__26,data__mask__33,0.30538237
data__mask__26,data__mask__34,0.18377124
data__mask__26,data__mask__35,0.03856726
data__mask__26,data__mask__36,0.04326024
data__mask__26,data__mask__37,0.10108113
data__mask__26,data__mask__38,0.07783670
data__mask__26,data__mask__39,0.06095514
data__mask__26,data__mask__4,0.04567202
data__mask__26,data__mask__40,0.11453004
data__mask__26,data__mask__41,0.18914604
data__mask__26,data__mask__5,0.07402930
data__mask__26,data__mask__6,0.06859155
data__mask__26,data__mask__7,0.15340015
data__mask__26,data__mask__8,0.03057665
data__mask__26,data__mask__9,0.03551349
data__mask__27,data__mask__28,0.15918294
data__mask__27,data__mask__29,0.30335915
data__mask__27,data__mask__3,0.26070347
data__mask__27,data__mask__30,0.18105040
data__mask__27,data__mask__31,0.24598584
data__mask__27,data__mask__32,0.13355692
data__mask__27,data__mask__33,0.15594704
data__mask__27,data__mask__34,0.14500624
data__mask__27,data__mask__35,0.07176275
data__mask__27,data__mask__36,0.03322279
data__mask__27,data__mask__37,0.11502522
data__mask__27,data__mask__38,0.05895889
data__mask__27,data__mask__39,0.09290005
data__mask__27,data__mask__4,0.32859460
data__mask__27,data__mask__40,0.12799485
data__mask__27,data__mask__41,0.33150250
data__mask__27,data__mask__5,0.26838791
data__mask__27,data__mask__6,0.18705377
data__mask__27,data__mask__7,0.13983895
data__mask__27,data__mask__8,0.11940537
data__mask__27,data__mask__9,0.13679239
data__mask__28,data__mask__29,0.39677885
data__mask__28,data__mask__3,0.03854225
data__mask__28,data__mask__30,0.11339267
data__mask__28,data__mask__31,0.09571587
data__mask__28,data__mask__32,0.07136847
data__mask__28,data__mask__33,0.04798173
data__mask__28,data__mask__34,0.30731738
data__mask__28,data__mask__35,-0.07637934
data__mask__28,data__mask__36,-0.08595431
data__mask__28,data__mask__37,0.08597186
data__mask__28,data__mask__38,0.10338337
data__mask__28,data__mask__39,0.00272779
data__mask__28,data__mask__4,0.05470719
data__mask__28,data__mask__40,-0.02573348
data__mask__28,data__mask__41,0.12728675
data__mask__28,data__mask__5,0.06635039
data__mask__28,data__mask__6,-0.03335221
data__mask__28,data__mask__7,-0.01994698
data__mask__28,data__mask__8,-0.02125795
data__mask__28,data__mask__9,0.04546198
data__mask__29,data__mask__3,0.10508011
data__mask__29,data__mask__30,0.13691646
data__mask__29,data__mask__31,0.27502954
data__mask__29,data__mask__32,0.12021001
data__mask__29,data__mask__33,0.13107064
data__mask__29,data__mask__34,0.17805636
data__mask__29,data__mask__35,0.06238307
data__mask__29,data__mask__36,0.05775626
data__mask__29,data__mask__37,0.14917913
data__mask__29,data__mask__38,0.18407819
data__mask__29,data__mask__39,0.08080101
data__mask__29,data__mask__4,0.07871705
data__mask__29,data__mask__40,0.06140041
data__mask__29,data__mask__41,0.22351953
data__mask__29,data__mask__5,0.15244752
data__mask__29,data__mask__6,0.08768637
data__mask__29,data__mask__7,0.12168913
data__mask__29,data__mask__8,0.02951848
data__mask__29,data__mask__9,0.07950246
data__mask__3,data__mask__30,0.07079255
data__mask__3,data__mask__31,0.06944896
data__mask__3,data__mask__32,0.21168375
data__mask__3,data__mask__33,0.18029809
data__mask__3,data__mask__34,0.02997872
data__mask__3,data__mask__35,0.50416839
data__mask__3,data__mask__36,0.39335263
data__mask__3,data__mask__37,0.50306582
data__mask__3,data__mask__38,0.40113199
data__mask__3,data__mask__39,0.41717571
data__mask__3,data__mask__4,0.58073986
data__mask__3,data__mask__40,0.41715720
data__mask__3,data__mask__41,0.35366872
data__mask__3,data__mask__5,0.68435389
data__mask__3,data__mask__6,0.62297285
data__mask__3,data__mask__7,0.44505915
data__mask__3,data__mask__8,0.59785914
data__mask__3,data__mask__9,0.53089619
data__mask__30,data__mask__31,0.55981696
data__mask__30,data__mask__32,0.45279869
data__mask__30,data__mask__33,0.30957302
data__mask__30,data__mask__34,0.11282440
data__mask__30,data__mask__35,0.04170894
data__mask__30,data__mask__36,0.07682554
data__mask__30,data__mask__37,0.03181800
data__mask__30,data__mask__38,0.01851278
data__mask__30,data__mask__39,0.01968392
data__mask__30,data__mask__4,0.02526016
data__mask__30,data__mask__40,0.10274269
data__mask__30,data__mask__41,0.16023415
data__mask__30,data__mask__5,0.07894280
data__mask__30,data__mask__6,0.07594422
data__mask__30,data__mask__7,0.11198549
data__mask__30,data__mask__8,0.02008924
data__mask__30,data__mask__9,0.00479253
data__mask__31,data__mask__32,0.23043790
data__mask__31,data__mask__33,0.23751086
data__mask__31,data__mask__34,0.18556377
data__mask__31,data__mask__35,0.00345025
data__mask__31,data__mask__36,0.02387811
data__mask__31,data__mask__37,0.07480826
data__mask__31,data__mask__38,0.05927069
data__mask__31,data__mask__39,0.00462883
data__mask__31,data__mask__4,0.07934483
data__mask__31,data__mask__40,0.02397249
data__mask__31,data__mask__41,0.13351035
data__mask__31,data__mask__5,0.09919798
data__mask__31,data__mask__6,0.07262162
data__mask__31,data__mask__7,0.07895419
data__mask__31,data__mask__8,0.06831931
data__mask__31,data__mask__9,0.07359993
data__mask__32,data__mask__33,0.38639367
data__mask__32,data__mask__34,0.11928286
data__mask__32,data__mask__35,0.12303500
data__mask__32,data__mask__36,0.15644014
data__mask__32,data__mask__37,0.07161192
data__mask__32,data__mask__38,0.09378468
data__mask__32,data__mask__39,0.07903884
data__mask__32,data__mask__4,0.01146280
data__mask__32,data__mask__40,0.06889177
data__mask__32,data__mask__41,0.28135896
data__mask__32,data__mask__5,0.11053194
data__mask__32,data__mask__6,0.14030138
data__mask__32,data__mask__7,0.13997033
data__mask__32,data__mask__8,0.09759052
data__mask__32,data__mask__9,0.06660393
data__mask__33,data__mask__34,0.28377742
data__mask__33,data__mask__35,0.10285641
data__mask__33,data__mask__36,0.11051377
data__mask__33,data__mask__37,0.07683586
data__mask__33,data__mask__38,0.07729589
data__mask__33,data__mask__39,0.07644252
data__mask__33,data__mask__4,0.16299638
data__mask__33,data__mask__40,0.05941559
data__mask__33,data__mask__41,0.30078381
data__mask__33,data__mask__5,0.20618603
data__mask__33,data__mask__6,0.13756111
data__mask__33,data__mask__7,0.23214300
data__mask__33,data__mask__8,0.23924913
data__mask__33,data__mask__9,0.17737564
data__mask__34,data__mask__35,-0.04564318
data__mask__34,data__mask__36,-0.07955535
data__mask__34,data__mask__37,0.09126735
data__mask__34,data__mask__38,-0.01100457
data__mask__34,data__mask__39,-0.04993474
data__mask__34,data__mask__4,-0.01187123
data__mask__34,data__mask__40,0.06076689
data__mask__34,data__mask__41,0.12080071
data__mask__34,data__mask__5,0.07183331
data__mask__34,data__mask__6,0.09242327
data__mask__34,data__mask__7,0.11244401
data__mask__34,data__mask__8,0.09487125
data__mask__34,data__mask__9,0.02734160
data__mask__35,data__mask__36,0.73872799
data__mask__35,data__mask__37,0.47694737
data__mask__35,data__mask__38,0.43125728
data__mask__35,data__mask__39,0.50548208
data__mask__35,data__mask__4,0.34577125
data__mask__35,data__mask__40,0.47365367
data__mask__35,data__mask__41,0.21647613
data__mask__35,data__mask__5,0.43835410
data__mask__35,data__mask__6,0.44776684
data__mask__35,data__mask__7,0.26094270
data__mask__35,data__mask__8,0.42894012
data__mask__35,data__mask__9,0.44666982
data__mask__36,data__mask__37,0.38431239
data__mask__36,data__mask__38,0.40417188
data__mask__36,data__mask__39,0.47826403
data__mask__36,data__mask__4,0.26260239
data__mask__36,data__mask__40,0.39271754
data__mask__36,data__mask__41,0.24696505
data__mask__36,data__mask__5,0.29378641
data__mask__36,data__mask__6,0.36441237
data__mask__36,data__mask__7,0.24811707
data__mask__36,data__mask__8,0.40650195
data__mask__36,data__mask__9,0.36518407
data__mask__37,data__mask__38,0.68452120
data__mask__37,data__mask__39,0.58325785
data__mask__37,data__mask__4,0.28825501
data__mask__37,data__mask__40,0.38921958
data__mask__37,data__mask__41,0.30685818
data__mask__37,data__mask__5,0.41002733
data__mask__37,data__mask__6,0.45554477
data__mask__37,data__mask__7,0.27376851
data__mask__37,data__mask__8,0.42175913
data__mask__37,data__mask__9,0.39186513
data__mask__38,data__mask__39,0.64160377
data__mask__38,data__mask__4,0.23130766
data__mask__38,data__mask__40,0.39721730
data__mask__38,data__mask__41,0.22863355
data__mask__38,data__mask__5,0.36064976
data__mask__38,data__mask__6,0.43938148
data__mask__38,data__mask__7,0.30943653
data__mask__38,data__mask__8,0.38619876
data__mask__38,data__mask__9,0.40139055
data__mask__39,data__mask__4,0.21982603
data__mask__39,data__mask__40,0.44235206
data__mask__39,data__mask__41,0.27748430
data__mask__39,data__mask__5,0.33466971
data__mask__39,data__mask__6,0.48541713
data__mask__39,data__mask__7,0.33734018
data__mask__39,data__mask__8,0.42546597
data__mask__39,data__mask__9,0.42342645
data__mask__4,data__mask__40,0.31505328
data__mask__4,data__mask__41,0.27566719
data__mask__4,data__mask__5,0.65428627
data__mask__4,data__mask__6,0.48372990
data__mask__4,data__mask__7,0.47416085
data__mask__4,data__mask__8,0.49987602
data__mask__4,data__mask__9,0.50156569
data__mask__40,data__mask__41,0.30302072
data__mask__40,data__mask__5,0.44024044
data__mask__40,data__mask__6,0.39384067
data__mask__40,data__mask__7,0.34506637
data__mask__40,data__mask__8,0.53454602
data__mask__40,data__mask__9,0.43670237
data__mask__41,data__mask__5,0.30825612
data__mask__41,data__mask__6,0.30777633
data__mask__41,data__mask__7,0.30139941
data__mask__41,data__mask__8,0.31792045
data__mask__41,data__mask__9,0.31879866
data__mask__5,data__mask__6,0.55385053
data__mask__5,data__mask__7,0.38276082
data__mask__5,data__mask__8,0.60631615
data__mask__5,data__mask__9,0.48454660
data__mask__6,data__mask__7,0.57394278
data__mask__6,data__mask__8,0.60070515
data__mask__6,data__mask__9,0.55682570
data__mask__7,data__mask__8,0.57289779
data__mask__7,data__mask__9,0.50421339
data__mask__8,data__mask__9,0.68928665
